seq,name,id,password,email,job,gender,dob,radio_operator,tel,zipCode,address,addressDetail,createdAt,createdBy,modifiedAt,modifiedBy,user_div
1,이하늘,himmel,12312,himmel@gmail.com,학생,1,1995-10-08,1,010-1234-1234,12345,경기도 용인시 기흥구,205동,2022-07-15 12:12,1,2022-07-15 12:12,,2
2,박지성,jisung,12312123,jisung@gmail.com,축구선수,1,1980-05-15,2,010-2345-2345,12358,경기도 성남시 분당구,105동,2022-07-16 12:12,,2022-07-16 12:12,,1
3,이승엽,seungyub,12123sfs,seung@naver.com,야구선수,1,1978-04-20,1,010-5156-1235,12158,경기도 성남시 판교동,103동,2022-07-16 13:14,,2022-07-16 13:15,,1
4,박태환,tae,asd1561,tae@naver.com,수영선수,1,1985-05-07,1,010-1561-1561,12158,경기도 용인시 처인구,1203동,2022-07-15 13:14,,2022-07-15 13:15,,1
5,김연경,yeon,asdasd,yeon@gmail.com,배구선수,2,1989-06-15,1,010-1244-1246,12158,경기도 용인시 처인구,1205동,2022-07-13 13:14,,2022-07-13 13:15,,1
6,지소연,soyeon,asda5116,soyeon@gmail.com,축구선수,2,1990-04-13,3,010-1244-5238,12158,경기도 용인시 처인구,205동,2022-07-12 13:14,,2022-07-12 13:15,,1
7,손흥민,son,a12312ad,son@naver.com,축구선수,1,1993-08-20,1,010-1231-5248,12151,서울특별시 강남구,105동,2022-07-11 10:14,,2022-07-11 13:15,,1
8,이민아,mina,wqeqwe12,mina@naver.com,축구선수,2,1994-11-20,2,010-1251-5118,12151,서울특별시 강남구,503동,2022-07-15 10:14,,2022-07-16 13:15,,1
9,허경민,kyungmin,wqeqwe21312,kyungmin@naver.com,야구선수,1,1996-12-25,2,010-2515-5118,12151,경기도 수원시 팔달구,106동,2022-07-14 14:14,,2022-07-17 15:15,,1
10,정수빈,soobin,wq1241e21312,soobin@gmail.com,야구선수,1,1993-09-14,1,010-1235-5118,12151,경기도 수원시 팔달구,109동,2022-07-11 14:14,,2022-07-14 15:15,,1
11,김동주,dongjoo,adasdsa1156,dongjoo@naver.com,야구선수,1,1984-03-24,2,010-1530-5118,12151,경기도 수원시 팔달구,103동,2022-07-14 14:14,,2022-07-20 20:15,,1
12,강필주,letmeout,sadkl123,letmeout@osen.co.kr,기자,1,1973-02-15,1,010-1563-5615,15615,서울시 마포구 합정동,SB빌딩 4층,2020-10-25 12:00,,2020-10-25 12:00,,1
13,신동훈,hun7599,56156wqeqwe,hun7599@interfootball.co.kr,기자,1,1985-01-24,2,010-1203-0215,15615,서울특별시 광진구 자양로,142 5층,2021-11-25 12:00,,2021-11-30 13:15,,1
14,양정웅,orionbear,qwexvc116!!,orionbear@mtstarnews.com,기자,1,1987-07-15,1,010-1058-5515,15615,서울특별시 종로구 청계천로,11 청계한국빌딩,2021-08-25 7:25,,2021-08-25 7:25,,1
15,정철우,butyou,sadwq5156!@#,butyou@maekyung.com,기자,1,1974-06-23,2,010-1020-0255,15615,서울특별시 강남구 봉은사로,317,2021-08-15 11:25,,2021-08-15 12:30,,1
16,강예진,kkang,wq1e1q6160!@#,kkang@sportsseoul.com,기자,2,1985-05-30,1,010-1150-5468,15615,서울특별시 중구 삼일대로,조양빌딩 신관 11층,2021-01-15 11:25,,2021-01-15 11:25,,1
17,김정용,cohenwise,qweqw15610!@,cohenwise@firstdivision.co.kr,기자,1,1990-08-05,4,010-1561-0941,15615,서울특별시 마포구 양화로8길,"14, 4층",2021-08-15 11:25,,2021-08-15 12:30,,1
18,김성원,newsme,werwer106!@#,newsme@sportschosun.com,기자,1,1974-06-23,1,010-1231-0345,15615,서울특별시 양천구 목동동로,233-1,2021-09-04 15:25,,2021-09-04 16:30,,1
19,김희준,jinxijun,sdfewm123@#,jinxijun@newsis.com,기자,2,1986-04-06,4,010-0551-9813,15615,서울특별시 중구 퇴계로 173,남산스퀘어빌딩 12층,2021-11-23 11:56,,2021-11-23 11:56,,1
20,한동훈,dhhan,kdsajdklj123!@#,dhhan@sportschosun.com,기자,1,1979-07-08,3,010-1565-5489,15615,서울특별시 양천구 목동동로,233-1,2020-11-20 17:15,,2020-11-20 17:15,,1
